Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,117.6368811,124.0050364,122.2928013,133.9434114,143.1031553,150.6368965,167.4997469,180.2180567,187.489789,196.8899328,199.289815,209.1867841,201.4841763,213.5039757,209.74716,217.7567947,221.1829269,214.3816716,212.0297873,214.076512,207.9484194
Afghanistan,AFG,,,87.46502416,86.22929798,93.92629758,105.8352695,118.1808212,112.1306996,137.5722057,153.5818619,148.744797,147.3391694,155.3830259,178.0790192,202.2615553,215.7252333,239.1887475,264.5439889,299.8225437,321.5253767,322.5256147
Africa Western and Central,AFW,77.22394313,80.48478193,78.17828922,116.3948664,118.0409403,122.2369103,123.3575627,123.6222606,127.1446263,135.9761295,127.6074722,134.5022482,135.9145776,145.1095321,152.2486352,157.9986298,153.2962118,153.5174991,141.6936289,143.9957754,159.7990552
Angola,AGO,62.70125784,151.7843588,126.0487141,136.1778825,167.5167117,137.857829,143.9101199,179.9316125,219.5955637,248.715628,177.4924768,177.2587236,177.0294781,208.8951587,197.7254442,189.5478609,190.6570225,201.4364003,181.0779747,171.6791671,184.1370771
Albania,ALB,222.786533,247.2349108,257.9175552,304.6002893,324.8618228,339.7391787,372.026996,414.9168616,452.6790904,504.2562923,600.6575266,625.645152,643.1457456,664.9024446,726.5397496,755.4520472,803.7963895,834.2807745,895.594816,,
Andorra,AND,1913.36792,2017.651112,2162.962953,2094.003492,2108.606273,2342.942744,2304.167198,2491.281679,2888.111677,3066.932816,3981.440906,3953.449159,3467.419948,3461.914902,3556.152537,3762.877063,3630.907139,3762.339407,4075.102821,4146.364176,4719.697773
Arab World,ARB,414.6109411,452.0493248,456.3246811,446.1756189,461.2821543,458.8000526,489.7880367,523.865641,529.2265114,644.2183677,609.516222,637.7431531,680.8599636,756.9689214,801.8245314,806.3933243,847.9559909,887.324999,854.4243878,674.6439771,685.3832774
United Arab Emirates,ARE,2225.092998,2297.607126,2486.127353,2556.321575,2555.412838,2428.808893,2407.173092,2347.523575,2368.618141,2734.781644,2536.874559,2591.778205,2497.088613,2657.416484,2786.923365,2416.065548,2307.573531,2853.381021,2995.451781,3244.372835,4033.415228
Argentina,ARG,1062.068023,1045.118602,826.5032599,845.6547847,878.9269122,1027.996378,1136.950096,1291.940947,1417.275937,1536.959894,1693.096567,1808.443055,1920.127825,1960.465834,1896.806034,2050.680833,1824.833791,2463.523086,2216.692967,2187.828948,2089.518422
Armenia,ARM,108.0566573,135.5166696,257.6978906,284.0806124,273.5076479,312.866433,366.645287,405.2803732,537.129643,595.0415625,677.0074381,738.9861984,846.5350835,1014.067174,1029.526857,1025.15043,1091.416808,1296.336992,1355.647719,1698.212756,1721.091937
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,804.2267985,890.9511083,877.9502039,989.7731322,974.7114856,1031.825717,1097.620994,1166.612466,1106.798524,961.5539269,1138.733895,1139.779195,1107.338983,1070.866515,1159.681192,1038.734811,1064.919304,1013.026333,1096.55068,1050.518882,1082.485519
Australia,AUS,2152.270618,2274.253004,2428.894462,2553.167331,2748.593346,2842.850714,3022.101952,3195.534254,3310.377823,3565.958848,3608.057772,3791.200974,3807.512015,4182.513227,4689.064907,4809.133725,5059.312654,5136.068507,5337.976003,5389.842963,5929.9836
Austria,AUT,2706.853909,2760.607365,2935.818609,3076.900754,3291.072731,3381.659934,3595.870526,3764.23727,4024.802464,4188.393204,4299.839124,4465.659245,4750.581539,4945.449719,5082.537001,5204.622133,5476.677948,5641.175264,5904.617803,6098.063898,6400.895378
Azerbaijan,AZE,98.10618719,101.838771,111.0593066,123.4351235,133.4712515,147.6852762,184.7667489,225.4230635,244.611293,358.4050667,358.2214644,354.9864679,463.6531099,511.248525,576.5972189,600.1472548,567.3907321,516.2533224,506.6122194,600.6251385,655.9222897
Burundi,BDI,32.92146492,34.73145816,36.21074434,34.43984219,43.57712786,47.79805759,59.11441364,64.42125075,57.68886834,64.06536036,71.07384218,65.06234603,55.58912536,59.46238501,52.55747882,50.14257443,54.97486986,54.66255091,56.10360375,49.75153222,46.21253074
Belgium,BEL,2225.177418,2351.488478,2524.578588,2840.375164,2997.982371,3069.844288,3230.234633,3374.422918,3649.647855,3911.924436,4085.481497,4257.525912,4444.362266,4615.710047,4763.423713,4993.985017,5239.753165,5434.573101,5681.599715,5804.934335,5883.08142
Benin,BEN,53.56851215,58.59175002,56.61315801,57.77065175,60.86698692,59.00140987,62.08463029,63.89837093,61.82791522,64.84530727,69.00634459,72.77363316,82.88464029,74.0645044,73.24404972,74.8257875,71.66951991,76.39913247,77.29569013,76.34343487,87.03565846
Burkina Faso,BFA,26.57030995,27.49256301,29.07056209,32.73584247,45.66992665,46.45639775,56.32003366,67.7185557,62.98145186,69.37587606,76.20551712,71.44135488,72.17297712,90.64410174,81.90085956,85.08298928,109.1738462,119.803244,105.1384992,116.9782422,143.6002288
Bangladesh,BGD,28.44970648,29.42671035,33.25451201,35.35621746,38.29023334,42.67772528,47.41268683,53.19932072,55.57374853,60.08018877,66.48542678,73.76081591,82.23952717,85.739754,91.10420427,95.81131224,108.9215005,114.3542096,121.7842055,127.9141212,132.8409826
Bulgaria,BGR,373.435509,469.1378087,549.1391871,603.6689219,631.7515196,706.3612569,741.6639273,786.377069,898.3372605,932.51727,1057.528672,1115.260407,1227.333762,1185.869785,1349.41573,1354.832697,1491.420961,1602.590971,1680.778107,1730.672915,2087.773129
Bahrain,BHR,1314.466151,1434.786926,1515.312528,1666.721563,1538.852738,1458.485451,1417.485145,1559.341346,1538.867385,2021.495779,1959.749927,1931.052366,2208.420232,2312.513621,2297.753074,2284.341337,2200.839295,2207.848104,2068.990829,2054.184853,2379.666771
"Bahamas, The",BHS,967.0956163,1031.562097,1031.798276,1079.636928,1110.691206,1164.002876,1295.877139,1388.861206,1474.603645,1486.450556,1536.520848,1578.81868,1629.740225,1695.712174,1758.302015,1663.907231,1831.207746,2294.065495,2158.404584,2158.363597,2390.597198
Bosnia and Herzegovina,BIH,329.2744568,325.3904414,344.6210889,406.8591134,489.8868171,525.6007876,611.1274721,712.2032175,815.4150553,784.2000805,819.132883,894.9200234,958.2967435,1018.008372,1055.877026,1092.834184,1176.225569,1197.682418,1296.740707,1396.487903,1517.003282
Belarus,BLR,308.8288584,358.9931904,379.7982671,427.7989898,490.0191204,588.7136312,616.3367251,705.4051926,739.7621485,737.9106502,846.827986,786.9616561,925.4973452,1054.158295,998.2304398,1070.462963,1025.394492,1030.157515,1045.470454,1146.856768,1285.69671
Belize,BLZ,225.566825,274.4977759,288.4842872,304.4587057,308.4489571,315.6038211,335.9150163,393.3116555,430.3129121,430.1870728,429.6967824,440.1595481,398.2938281,409.3344182,446.717247,430.7048366,441.8780208,411.558095,426.1121417,451.7360825,436.2293242
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,148.033859,165.9036826,172.2240651,187.9309235,184.8838754,204.1384799,198.9499437,211.5338469,220.6663182,253.7472496,264.2168637,277.4834701,305.4682026,362.4011636,408.0591502,458.0290116,501.9642145,535.1127992,572.538492,612.2983711,636.8682484
Brazil,BRA,750.5266852,787.2488435,827.7924408,793.5192933,845.3879222,879.838044,957.1234901,1025.822462,1062.970087,1110.303125,1132.421161,1167.384279,1160.018986,1239.222773,1315.285906,1309.010776,1302.748426,1371.2345,1416.930254,1470.815778,1529.439788
