Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2002,81.271034,1280.4631,21000258,
Afghanistan,AFG,2003,82.45785,1292.3335,22645136,
Afghanistan,AFG,2004,89.470055,1260.0605,23553554,
Afghanistan,AFG,2005,100.706985,1352.3207,24411196,
Afghanistan,AFG,2006,113.754105,1366.9932,25442946,
Afghanistan,AFG,2007,107.17704,1528.3446,25903306,
Afghanistan,AFG,2008,131.14537,1556.8445,26427204,
Afghanistan,AFG,2009,148.12166,1823.7426,27385310,
Afghanistan,AFG,2010,143.6695,2026.1638,28189672,
Afghanistan,AFG,2011,143.09152,1961.0963,29249156,
Afghanistan,AFG,2012,151.91798,2122.8308,30466484,
Afghanistan,AFG,2013,174.05948,2165.3408,31541216,
Afghanistan,AFG,2014,198.2941,2144.4497,32716214,
Afghanistan,AFG,2015,211.5873,2108.714,33753500,Asia
Afghanistan,AFG,2016,234.14021,2101.422,34636212,
Afghanistan,AFG,2017,259.78683,2096.093,35643420,
Afghanistan,AFG,2018,294.3091,2060.699,36686788,
Afghanistan,AFG,2019,285.55814,2079.9219,37769496,
Afghanistan,AFG,2020,,1968.341,38972236,
Afghanistan,AFG,2021,,1516.3057,40099460,
Afghanistan,AFG,-10000,,,14737,
Afghanistan,AFG,-9000,,,20405,
Afghanistan,AFG,-8000,,,28253,
Afghanistan,AFG,-7000,,,39120,
Afghanistan,AFG,-6000,,,54166,
Afghanistan,AFG,-5000,,,74999,
Afghanistan,AFG,-4000,,,306250,
Afghanistan,AFG,-3000,,,537500,
Afghanistan,AFG,-2000,,,768751,
Afghanistan,AFG,-1000,,,999998,
Afghanistan,AFG,0,,,1999997,
Afghanistan,AFG,100,,,2250002,
Afghanistan,AFG,200,,,2500001,
Afghanistan,AFG,300,,,2500001,
Afghanistan,AFG,400,,,2500001,
Afghanistan,AFG,500,,,2500001,
Afghanistan,AFG,600,,,2500001,
Afghanistan,AFG,700,,,2425001,
Afghanistan,AFG,800,,,2350008,
Afghanistan,AFG,900,,,2299999,
Afghanistan,AFG,1000,,,2250002,
Afghanistan,AFG,1100,,,2375009,
Afghanistan,AFG,1200,,,2500001,
Afghanistan,AFG,1300,,,1749998,
Afghanistan,AFG,1400,,,1874998,
Afghanistan,AFG,1500,,,1999997,
Afghanistan,AFG,1600,,,2500001,
Afghanistan,AFG,1700,,,2500001,
Afghanistan,AFG,1710,,,2561614,
Afghanistan,AFG,1720,,,2619846,
Afghanistan,AFG,1730,,,2679387,
Afghanistan,AFG,1740,,,2740283,
Afghanistan,AFG,1750,,,2802568,
Afghanistan,AFG,1760,,,2866257,
Afghanistan,AFG,1770,,,2931400,
Afghanistan,AFG,1780,,,2998015,
